Primary_ID	Seconday_ID	Rule_Name	Severity	Category	Rule_Type	Cloud_Provider	Description	Service	CVS_Rule_ID	Terraform_URL
1.15.2.1	1.15.2	data_factory_is_not_using_CMEK_for_data_encryption	high	Data Protection	custom	azure	Encryption at-rest- Use customer managed keys CMK to comply with CVS encryption standards	DATA_FACTORY	CSE-PC-AZURE-DATAFACTORY-11521	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/data_factory#customer_managed_key_id
1.15.3.1	1.15.3	data_factory_is_not_disabled_public_access	critical	Network Security	custom	azure	Disable public access to Datafactory 	DATA_FACTORY	CSE-PC-AZURE-DATAFACTORY-11531	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/data_factory#public_network_enabled
1.15.3.2	1.15.3	data_factory_is_not_configured_to_access_with_private_endpoint	high	Network Security	custom	azure	Limit access through private endpoint to data factory Studio	DATA_FACTORY	CSE-PC-AZURE-DATAFACTORY-11532	https://registry.terraform.io/providers/hashicorp/azurerm/1.44.0/docs/resources/private_endpoint#private_service_connection
1.15.3.5	1.15.3	data_factory_is_not_configured_with_private_dns_to_access_private_endpoint	high	Network Security	custom	azure	Private DNS for Azure Data factory	DATA_FACTORY	CSE-PC-AZURE-DATAFACTORY-11535	https://registry.terraform.io/providers/hashicorp/azurerm/3.102.0/docs/resources/private_endpoint#private_dns_zone_group
1.15.4.2	1.15.4	data_factory_is_not_associated_with_purview	high	Logging and Monitoring	custom	azure	Azure Purview to be associated with Data Factory	DATA_FACTORY	CSE-PC-AZURE-DATAFACTORY-11542	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/data_factory#purview_id
1.24.2.3	1.24.2	postgresql_flexible_server_is_not_configured_with_cmek	high	Network Security	custom	azure	Encryption at-rest: Use customer managed keys CMK to comply with CVS encryption standards	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12423	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server#customer_managed_key
1.24.3.1	1.24.3	postgresql_flexible_server_is_accessible_to_public_network	critical	Network Security	custom	azure	Disable public access to PostgreSQL DB	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12431	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server#public_network_access_enabled
1.24.4.3	1.24.4	postgresql_flexible_server_log_checkpoints_disabled	medium	Logging and Monitoring	custom	azure	Ensure Server Parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12443	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server_configuration
1.24.4.4	1.24.4	postgresql_flexible_server_log_connections_not_set	medium	Logging and Monitoring	custom	azure	Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12444	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server_configuration
1.24.4.5	1.24.4	postgresql_flexible_server_log_disconnections_not_set	medium	Logging and Monitoring	custom	azure	Ensure server parameter 'log_disconnections' is set to 'ON' for PostgreSQL Database Server	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12445	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server_configuration
1.24.4.6	1.24.4	postgresql_flexible_server_without_connection_throttle	medium	Logging and Monitoring	custom	azure	Ensure that Connection Throttling is set for the PostgreSQL server	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12446	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server_configuration
1.24.5.1	1.24.5	postgresql_flexible_server_is_missing_tags	low	Governance	custom	azure	IT Hygiene:Function must be tagged per standards	POSTGRESQL_FLEXIBLE_SERVER	CSE-PC-AZURE-POSTGRESQLFLEXIBLESERVER-12451	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/postgresql_flexible_server#tags
1.27.2.1	1.27.2	mysql_flexible_server_secure_transport_disabled	high	Data Protection	custom	azure	Ensure data is encrypted during transit from/to the MySQL Flexible Server	MYSQL_FLEXIBLE_SERVER	CSE-PC-AZURE-MYSQLFLEXIBLESERVER-12721	"https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mysql_flexible_server_configuration#value"","
1.27.2.3	1.27.2	mysql_flexible_server_is_not_using_cmek_for_encryption_at_rest	high	Data Protection	custom	azure	Encryption at-rest Use customer managed keys to comply with CVS encryption standards	MYSQL_FLEXIBLE_SERVER	CSE-PC-AZURE-MYSQLFLEXIBLESERVER-12723	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mysql_flexible_server#customer_managed_key
1.27.3.1	1.27.3	mysql_flexible_server_public_network_access_enabled	critical	Network Security	custom	azure	Disable public access to MySQL Flexible Server	MYSQL_FLEXIBLE_SERVER	CSE-PC-AZURE-MYSQLFLEXIBLESERVER-12731	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mysql_flexible_server#public_network_access_enabled
1.27.4.3	1.27.4	mysql_flexible_server_audit_log_disabled	medium	Logging and Monitoring	custom	azure	Ensure server parameter 'audit_log_enabled' is set to 'ON' for MySQL Flexible Server	MYSQL_FLEXIBLE_SERVER	CSE-PC-AZURE-MYSQLFLEXIBLESERVER-12743	https://registry.terraform.io/providers/hashicorp/azurerm/latest/docs/resources/mysql_flexible_server_configuration#value
